recording_id,label,delta,theta,alpha,sigma,beta,eog_ptp,emg_rms,pz_delta,pz_alpha,pz_sigma
SC4631E0-PSG.edf,REM,0.6046,0.0997,0.0836,0.0756,0.1998,211.65,3.178,0.485,0.1567,0.109
SC4631E0-PSG.edf,Wake,0.6946,0.077,0.0527,0.0504,0.1737,582.0,3.175,0.3472,0.1384,0.1192
SC4632E0-PSG.edf,N1,0.7908,0.0718,0.0588,0.0401,0.0746,84.6,3.082,0.5574,0.1362,0.0664
SC4632E0-PSG.edf,N2,0.8784,0.0662,0.0313,0.02,0.0241,83.1,2.37,0.7522,0.0578,0.0317
SC4632E0-PSG.edf,N3,0.939,0.0393,0.0165,0.006,0.0058,105.05,1.5585,0.8624,0.0272,0.0134
SC4632E0-PSG.edf,REM,0.5888,0.1148,0.0943,0.0829,0.1954,108.4,0.679,0.5268,0.154,0.0901
SC4632E0-PSG.edf,Wake,0.8165,0.0586,0.0327,0.0296,0.0922,389.0,3.171,0.3583,0.1403,0.1163
SC4641E0-PSG.edf,N1,0.6473,0.0851,0.0784,0.0683,0.1754,99.4,2.455,0.5381,0.1218,0.0601
SC4641E0-PSG.edf,N2,0.7857,0.104,0.0476,0.042,0.0627,58.5,1.658,0.6958,0.048,0.0321
SC4641E0-PSG.edf,REM,0.7064,0.1026,0.055,0.044,0.1216,338.15,0.6505,0.6078,0.0857,0.0552
SC4641E0-PSG.edf,Wake,0.8379,0.0819,0.0234,0.0176,0.052,426.9,3.022,0.519,0.0987,0.0714
SC4642E0-PSG.edf,N1,0.6676,0.1043,0.0801,0.071,0.148,78.2,2.086,0.5651,0.0986,0.0622
SC4642E0-PSG.edf,N2,0.7732,0.1136,0.0545,0.0428,0.056,63.6,0.6385,0.6905,0.0566,0.0381
SC4642E0-PSG.edf,REM,0.7979,0.0886,0.0375,0.0293,0.0622,374.0,0.33,0.5824,0.0929,0.056
SC4642E0-PSG.edf,Wake,0.836,0.0853,0.0235,0.0173,0.0491,458.55,2.72,0.438,0.1126,0.0874
SC4651E0-PSG.edf,N1,0.7038,0.1148,0.0777,0.0574,0.0889,134.5,3.174,0.6529,0.091,0.0516
SC4651E0-PSG.edf,N2,0.922,0.0489,0.0172,0.0096,0.0113,102.5,2.294,0.7936,0.0404,0.0181
SC4651E0-PSG.edf,N3,0.9554,0.0292,0.0106,0.0046,0.0036,137.65,1.3165,0.8856,0.0202,0.0086
SC4651E0-PSG.edf,REM,0.8025,0.1079,0.0508,0.0265,0.0382,176.6,0.425,0.7098,0.0681,0.0299
SC4651E0-PSG.edf,Wake,0.7877,0.0877,0.0349,0.0277,0.0886,403.35,3.239,0.4666,0.1105,0.0897
SC4652E0-PSG.edf,N1,0.8246,0.0778,0.0428,0.03,0.0518,150.15,4.6515,0.6076,0.0856,0.0438
SC4652E0-PSG.edf,N2,0.9039,0.0585,0.0219,0.0129,0.016,119.2,3.166,0.7278,0.0549,0.0275
SC4652E0-PSG.edf,N3,0.9415,0.0375,0.014,0.0066,0.0059,156.1,2.456,0.8296,0.033,0.0148
SC4652E0-PSG.edf,OTHER,0.9076,0.0485,0.0231,0.014,0.0214,351.25,4.2975,0.7857,0.045,0.022
SC4652E0-PSG.edf,REM,0.7355,0.1231,0.0718,0.0411,0.0685,217.2,1.031,0.6298,0.0932,0.0464
SC4652E0-PSG.edf,Wake,0.7051,0.0932,0.049,0.042,0.1326,532.1,4.671,0.3795,0.1269,0.1046
SC4661E0-PSG.edf,N1,0.3985,0.1384,0.1712,0.1385,0.2563,160.3,3.685,0.4113,0.1678,0.0962
SC4661E0-PSG.edf,N2,0.777,0.11,0.054,0.0377,0.0627,158.55,2.5855,0.6506,0.0728,0.0471
SC4661E0-PSG.edf,N3,0.8864,0.0674,0.0292,0.0148,0.0206,184.05,2.577,0.7662,0.0444,0.0274
SC4661E0-PSG.edf,OTHER,0.4862,0.0888,0.1278,0.1056,0.2881,52.6,0.022,0.4814,0.1051,0.0995
SC4661E0-PSG.edf,REM,0.3924,0.1862,0.1734,0.1121,0.2314,148.8,1.5905,0.4471,0.1336,0.0911
SC4661E0-PSG.edf,Wake,0.641,0.1275,0.0678,0.052,0.1528,635.6,4.908,0.2668,0.1714,0.152
SC4662E0-PSG.edf,N1,0.6565,0.1332,0.0923,0.0702,0.1198,181.2,3.877,0.573,0.1052,0.0622
SC4662E0-PSG.edf,N2,0.8403,0.0983,0.0355,0.021,0.0264,177.6,3.9705,0.7423,0.054,0.0311
SC4662E0-PSG.edf,N3,0.9025,0.0662,0.0216,0.0106,0.0121,202.1,3.972,0.8236,0.0342,0.018
SC4662E0-PSG.edf,REM,0.5094,0.1858,0.1456,0.0855,0.1461,170.6,3.8745,0.5732,0.1129,0.0648
SC4662E0-PSG.edf,Wake,0.7544,0.117,0.0424,0.0283,0.0756,541.3,3.727,0.2385,0.1596,0.1473
SC4671G0-PSG.edf,N1,0.7817,0.0986,0.0565,0.0369,0.0573,121.1,3.0215,0.6207,0.1134,0.0513
SC4671G0-PSG.edf,N2,0.814,0.1034,0.0463,0.0342,0.0381,108.7,1.16,0.705,0.0726,0.0382
SC4671G0-PSG.edf,N3,0.9111,0.0591,0.0191,0.0123,0.011,137.1,0.894,0.8744,0.0271,0.0126
SC4671G0-PSG.edf,REM,0.7793,0.1123,0.0528,0.0301,0.0498,297.8,0.638,0.6529,0.1203,0.0614
SC4671G0-PSG.edf,Wake,0.7363,0.1047,0.0479,0.0344,0.1066,476.1,3.584,0.5558,0.1097,0.0712
SC4672G0-PSG.edf,N1,0.8325,0.0827,0.0437,0.023,0.0387,162.3,3.038,0.7353,0.0789,0.0328
SC4672G0-PSG.edf,N2,0.8641,0.0839,0.0328,0.0209,0.0198,93.4,0.548,0.8246,0.0431,0.0219
SC4672G0-PSG.edf,N3,0.9379,0.0452,0.0122,0.0065,0.006,135.5,0.616,0.8897,0.0209,0.0099
SC4672G0-PSG.edf,REM,0.8611,0.0876,0.031,0.0173,0.025,279.8,0.336,0.7678,0.0653,0.0366
SC4672G0-PSG.edf,Wake,0.8542,0.0835,0.0206,0.013,0.0377,491.7,3.078,0.7909,0.0466,0.0318
SC4701E0-PSG.edf,N1,0.7363,0.1245,0.058,0.0291,0.0731,66.1,0.953,0.6659,0.0824,0.0343
SC4701E0-PSG.edf,N2,0.859,0.0897,0.0268,0.0122,0.0212,72.0,0.586,0.8277,0.0375,0.0168
SC4701E0-PSG.edf,N3,0.9311,0.0533,0.0123,0.0041,0.0051,103.7,0.552,0.9147,0.017,0.0067
SC4701E0-PSG.edf,OTHER,0.6975,0.0683,0.0726,0.0479,0.1632,188.8,1.108,0.9915,0.0021,0.0011
SC4701E0-PSG.edf,REM,0.7558,0.1372,0.0508,0.02,0.043,103.7,0.409,0.6708,0.0914,0.0356
SC4701E0-PSG.edf,Wake,0.4636,0.1068,0.0922,0.0842,0.3343,218.7,1.445,0.4288,0.1281,0.0955
SC4702E0-PSG.edf,N1,0.7677,0.1207,0.0521,0.0245,0.0645,77.9,1.623,0.8088,0.0464,0.0166
SC4702E0-PSG.edf,N2,0.8848,0.0804,0.0219,0.01,0.0144,74.6,1.5685,0.8946,0.0228,0.0108
SC4702E0-PSG.edf,N3,0.9381,0.0479,0.0121,0.0042,0.0055,97.3,1.7,0.9295,0.0148,0.0061
SC4702E0-PSG.edf,REM,0.753,0.1471,0.055,0.0232,0.0393,93.25,1.627,0.8669,0.0386,0.0142
SC4702E0-PSG.edf,Wake,0.571,0.1003,0.073,0.0635,0.2524,262.1,1.415,0.5092,0.1044,0.0834
SC4711E0-PSG.edf,N1,0.5643,0.1664,0.1134,0.0586,0.1565,137.95,5.5865,0.5326,0.1462,0.0517
SC4711E0-PSG.edf,N2,0.786,0.1219,0.0425,0.0302,0.048,99.2,1.967,0.714,0.0639,0.0368
SC4711E0-PSG.edf,N3,0.8708,0.0862,0.0212,0.0148,0.0232,105.35,1.448,0.7759,0.0346,0.0214
SC4711E0-PSG.edf,REM,0.6464,0.1248,0.0888,0.0581,0.1251,298.15,0.7465,0.6373,0.1046,0.0582
SC4711E0-PSG.edf,Wake,0.6434,0.0956,0.0666,0.0549,0.1903,449.1,6.566,0.4991,0.1013,0.0763
SC4712E0-PSG.edf,N1,0.7649,0.1305,0.054,0.0264,0.0452,150.0,2.5605,0.639,0.093,0.0364
SC4712E0-PSG.edf,N2,0.8624,0.0966,0.0253,0.014,0.0173,98.5,1.245,0.7809,0.044,0.0216
SC4712E0-PSG.edf,REM,0.7368,0.1356,0.074,0.0387,0.0553,322.4,0.401,0.6532,0.1001,0.045
SC4712E0-PSG.edf,Wake,0.8383,0.0677,0.0286,0.019,0.0648,493.9,4.029,0.444,0.1134,0.0849
SC4721E0-PSG.edf,N1,0.7643,0.0876,0.0628,0.0442,0.0693,163.6,3.259,0.664,0.0859,0.0479
SC4721E0-PSG.edf,N2,0.822,0.0801,0.0474,0.0332,0.0447,101.6,3.542,0.7237,0.0663,0.0348
SC4721E0-PSG.edf,REM,0.7152,0.111,0.0772,0.051,0.073,349.0,3.558,0.666,0.1057,0.0584
SC4721E0-PSG.edf,Wake,0.6898,0.0816,0.0534,0.0491,0.1719,600.35,3.395,0.5502,0.0904,0.0729
SC4722E0-PSG.edf,N1,0.7855,0.0862,0.0572,0.0386,0.0598,144.9,1.824,0.6966,0.0678,0.0393
SC4722E0-PSG.edf,N2,0.8376,0.0833,0.0436,0.0282,0.029,73.0,0.507,0.76,0.0508,0.0261
SC4722E0-PSG.edf,REM,0.8023,0.0932,0.0497,0.0355,0.0478,298.65,0.395,0.7146,0.0749,0.0466
SC4722E0-PSG.edf,Wake,0.8534,0.0602,0.021,0.0178,0.0611,460.5,3.287,0.6512,0.07,0.054
SC4731E0-PSG.edf,N1,0.7745,0.1382,0.0506,0.0283,0.039,139.95,1.7475,0.7349,0.0627,0.0266
SC4731E0-PSG.edf,N2,0.8366,0.1131,0.0306,0.0193,0.0212,70.2,0.32,0.8262,0.035,0.0167
SC4731E0-PSG.edf,REM,0.7609,0.1272,0.0639,0.0341,0.0449,124.7,0.265,0.7755,0.067,0.0299
SC4731E0-PSG.edf,Wake,0.7869,0.0909,0.0354,0.027,0.0722,405.6,2.783,0.5785,0.1173,0.0659
SC4732E0-PSG.edf,N1,0.7592,0.1428,0.0525,0.0307,0.0444,127.0,2.7655,0.7025,0.0744,0.03
SC4732E0-PSG.edf,N2,0.8255,0.1163,0.0328,0.0195,0.0208,63.5,2.807,0.8253,0.0345,0.0165
SC4732E0-PSG.edf,OTHER,0.9509,0.0156,0.0102,0.0098,0.0236,651.4,1.899,0.8628,0.0216,0.0191
SC4732E0-PSG.edf,REM,0.7612,0.1395,0.0637,0.0338,0.043,156.2,2.802,0.7702,0.0706,0.0307
SC4732E0-PSG.edf,Wake,0.7819,0.0863,0.0372,0.0276,0.0758,406.1,2.667,0.5829,0.1146,0.069
SC4741E0-PSG.edf,N1,0.8055,0.0824,0.0522,0.0376,0.0655,131.75,3.2695,0.6324,0.104,0.064
SC4741E0-PSG.edf,N2,0.8657,0.0706,0.0341,0.0217,0.0274,60.5,3.1055,0.7972,0.0571,0.0331
SC4741E0-PSG.edf,OTHER,0.9581,0.013,0.0067,0.0069,0.0223,675.3,3.381,0.7236,0.0458,0.0427
SC4741E0-PSG.edf,REM,0.8148,0.0674,0.0434,0.0325,0.0732,217.9,1.169,0.6888,0.098,0.058
SC4741E0-PSG.edf,Wake,0.884,0.0504,0.0188,0.0148,0.0434,442.15,3.261,0.3833,0.1273,0.1124
SC4742E0-PSG.edf,N1,0.7575,0.1108,0.0662,0.0507,0.0812,63.4,3.437,0.7155,0.0925,0.0621
SC4742E0-PSG.edf,N2,0.8276,0.094,0.0472,0.0294,0.0344,50.6,3.436,0.81,0.0551,0.0334
SC4742E0-PSG.edf,REM,0.795,0.0923,0.0554,0.0362,0.066,190.8,3.4465,0.7126,0.0967,0.057
SC4742E0-PSG.edf,Wake,0.9012,0.0502,0.0161,0.0121,0.0324,388.9,3.392,0.419,0.1305,0.1096
SC4751E0-PSG.edf,N1,0.6266,0.1413,0.0774,0.0518,0.1476,96.95,2.1205,0.5352,0.1248,0.0575
SC4751E0-PSG.edf,N2,0.7801,0.1134,0.049,0.0379,0.0511,88.7,0.834,0.6601,0.0761,0.0513
SC4751E0-PSG.edf,REM,0.739,0.1331,0.0675,0.0367,0.0629,186.1,0.346,0.641,0.1118,0.0571
SC4751E0-PSG.edf,Wake,0.8914,0.0566,0.0189,0.0122,0.0321,344.4,2.9645,0.5564,0.1099,0.0772
SC4752E0-PSG.edf,N1,0.7523,0.1067,0.0529,0.04,0.0761,92.1,17.789,0.6499,0.0887,0.0478
SC4752E0-PSG.edf,N2,0.7954,0.1126,0.045,0.0354,0.0425,88.1,17.8365,0.7023,0.0629,0.04
SC4752E0-PSG.edf,N3,0.842,0.0949,0.029,0.0241,0.0272,107.95,17.7765,0.7559,0.0434,0.0256
SC4752E0-PSG.edf,REM,0.7653,0.1038,0.0549,0.0309,0.0593,151.75,17.7515,0.7068,0.0824,0.0448
SC4752E0-PSG.edf,Wake,0.8668,0.0591,0.0255,0.0175,0.0458,481.1,17.246,0.6164,0.0986,0.0663
SC4761E0-PSG.edf,N1,0.5278,0.1584,0.1344,0.0757,0.1687,155.0,3.271,0.6478,0.1031,0.0346
SC4761E0-PSG.edf,N2,0.8089,0.0932,0.0494,0.0295,0.0467,100.2,3.265,0.7895,0.0469,0.0188
SC4761E0-PSG.edf,N3,0.9193,0.0455,0.0234,0.0097,0.013,114.1,3.267,0.8672,0.0294,0.0094
SC4761E0-PSG.edf,OTHER,0.6402,0.1204,0.0871,0.0684,0.1634,355.05,2.363,0.8055,0.0482,0.0274
SC4761E0-PSG.edf,REM,0.6285,0.1423,0.106,0.0539,0.1069,152.6,3.272,0.7018,0.0885,0.0366
SC4761E0-PSG.edf,Wake,0.7879,0.0802,0.0416,0.0294,0.087,479.25,3.245,0.285,0.1684,0.1343
SC4762E0-PSG.edf,N1,0.8617,0.07,0.0318,0.0164,0.0283,132.7,2.569,0.8014,0.0429,0.018
SC4762E0-PSG.edf,N2,0.903,0.049,0.0232,0.0125,0.0178,87.7,1.6215,0.8509,0.0306,0.0114
SC4762E0-PSG.edf,OTHER,0.885,0.0631,0.0191,0.0104,0.0308,167.4,1.2685,0.888,0.0143,0.0082
SC4762E0-PSG.edf,REM,0.7602,0.064,0.0478,0.0235,0.1275,92.8,1.2485,0.8096,0.0408,0.0152
SC4762E0-PSG.edf,Wake,0.889,0.0563,0.0201,0.0121,0.0276,460.7,2.708,0.4078,0.1316,0.1022
SC4771G0-PSG.edf,N1,0.5869,0.1972,0.0978,0.0498,0.1042,152.95,2.6575,0.556,0.1002,0.0303
SC4771G0-PSG.edf,N2,0.7912,0.1302,0.0398,0.0221,0.0333,123.7,1.85,0.7525,0.0389,0.016
SC4771G0-PSG.edf,N3,0.8885,0.078,0.0197,0.0095,0.0117,126.1,1.58,0.8436,0.0225,0.0081
SC4771G0-PSG.edf,REM,0.5362,0.2157,0.1272,0.0576,0.1201,210.7,2.135,0.4705,0.1622,0.041
SC4771G0-PSG.edf,Wake,0.4574,0.1084,0.104,0.0898,0.306,465.9,3.299,0.5194,0.1409,0.0585
SC4772G0-PSG.edf,N1,0.5614,0.1866,0.0986,0.0536,0.1176,111.3,2.595,0.529,0.1502,0.0309
SC4772G0-PSG.edf,N2,0.8024,0.1214,0.0353,0.0202,0.0327,160.4,0.775,0.7834,0.0365,0.014
SC4772G0-PSG.edf,N3,0.9113,0.0616,0.0144,0.0073,0.0114,168.9,0.671,0.8725,0.0147,0.0066
SC4772G0-PSG.edf,REM,0.5896,0.1733,0.114,0.0533,0.1155,276.2,0.495,0.4847,0.1678,0.0466
SC4772G0-PSG.edf,Wake,0.4191,0.1128,0.1152,0.0985,0.3279,377.5,3.619,0.4838,0.1663,0.0593
SC4801G0-PSG.edf,N1,0.6191,0.1656,0.1001,0.0549,0.079,77.4,4.428,0.5858,0.1234,0.0413
SC4801G0-PSG.edf,N2,0.7973,0.1321,0.049,0.0243,0.0195,86.0,4.34,0.7692,0.0496,0.0241
SC4801G0-PSG.edf,N3,0.9392,0.0467,0.0179,0.0075,0.0054,122.2,2.851,0.8833,0.0225,0.0088
SC4801G0-PSG.edf,REM,0.6307,0.177,0.081,0.0356,0.0761,178.5,4.4925,0.6169,0.117,0.0403
SC4801G0-PSG.edf,Wake,0.846,0.0794,0.027,0.0158,0.0407,367.1,4.165,0.5229,0.1212,0.0671
SC4802G0-PSG.edf,N1,0.6414,0.165,0.0988,0.0584,0.0791,154.75,6.4205,0.602,0.1146,0.0435
SC4802G0-PSG.edf,N2,0.7411,0.1559,0.068,0.0371,0.0325,138.9,6.371,0.7051,0.0619,0.0312
SC4802G0-PSG.edf,N3,0.9174,0.0564,0.0183,0.0105,0.0096,192.15,5.4275,0.8202,0.0306,0.0128
SC4802G0-PSG.edf,REM,0.5734,0.1952,0.0931,0.0484,0.1107,327.75,6.457,0.6154,0.1246,0.0508
SC4802G0-PSG.edf,Wake,0.7835,0.0983,0.0415,0.0271,0.0744,469.2,6.08,0.5335,0.1226,0.064
SC4811G0-PSG.edf,N1,0.6633,0.1214,0.1317,0.0531,0.0741,99.5,1.9685,0.5225,0.1649,0.0576
SC4811G0-PSG.edf,N2,0.7619,0.1166,0.0833,0.0391,0.0322,105.35,1.6,0.686,0.0958,0.0451
SC4811G0-PSG.edf,N3,0.8898,0.065,0.0367,0.0097,0.0074,152.9,1.48,0.8519,0.0437,0.0122
SC4811G0-PSG.edf,REM,0.7248,0.1542,0.0691,0.0306,0.0477,246.5,0.4715,0.6076,0.1154,0.0422
SC4811G0-PSG.edf,Wake,0.8395,0.0867,0.0381,0.0175,0.0342,517.8,2.945,0.2617,0.1595,0.1359
SC4812G0-PSG.edf,N1,0.644,0.1234,0.1228,0.0586,0.0866,164.45,3.069,0.5291,0.1506,0.0608
SC4812G0-PSG.edf,N2,0.7214,0.1241,0.104,0.0523,0.0459,143.1,1.549,0.6587,0.106,0.0535
SC4812G0-PSG.edf,N3,0.8808,0.0715,0.04,0.0116,0.0099,185.4,1.1955,0.8529,0.0488,0.0148
SC4812G0-PSG.edf,OTHER,0.3442,0.1162,0.23,0.1216,0.3162,433.3,2.852,0.5596,0.2211,0.0717
SC4812G0-PSG.edf,REM,0.646,0.1614,0.0959,0.0469,0.0848,289.2,0.916,0.5585,0.1296,0.0505
SC4812G0-PSG.edf,Wake,0.7863,0.0961,0.0418,0.028,0.0723,603.0,3.471,0.3149,0.1557,0.1243
SC4821G0-PSG.edf,N1,0.6817,0.1394,0.0934,0.0602,0.0799,166.5,3.116,0.501,0.1232,0.065
SC4821G0-PSG.edf,N2,0.6846,0.1265,0.1244,0.0895,0.0559,123.5,2.725,0.5737,0.126,0.0696
SC4821G0-PSG.edf,N3,0.8963,0.0627,0.032,0.0152,0.0084,168.45,2.918,0.8059,0.0421,0.0158
SC4821G0-PSG.edf,OTHER,0.5877,0.1027,0.1294,0.0812,0.1826,584.9,2.987,0.481,0.2309,0.0725
SC4821G0-PSG.edf,REM,0.6546,0.163,0.0898,0.0476,0.0844,564.25,0.7735,0.4754,0.1675,0.0581
SC4821G0-PSG.edf,Wake,0.8122,0.0938,0.0355,0.022,0.0533,962.2,3.3095,0.3975,0.1365,0.0923
SC4822G0-PSG.edf,N1,0.6442,0.1558,0.1028,0.0516,0.0762,139.3,2.555,0.4647,0.1344,0.0553
SC4822G0-PSG.edf,N2,0.7016,0.1246,0.112,0.074,0.046,99.0,2.0345,0.5798,0.122,0.0636
SC4822G0-PSG.edf,N3,0.8874,0.068,0.036,0.0158,0.0104,132.75,2.2355,0.7897,0.0504,0.0188
SC4822G0-PSG.edf,REM,0.6451,0.1829,0.0932,0.0472,0.0793,236.3,0.979,0.4739,0.1708,0.0613
SC4822G0-PSG.edf,Wake,0.827,0.1022,0.0295,0.0156,0.0358,605.8,3.327,0.3839,0.1448,0.0885
ST7011J0-PSG.edf,N1,0.551,0.1742,0.0975,0.0501,0.1334,307.6,10.047,0.3353,0.176,0.0806
ST7011J0-PSG.edf,N2,0.8167,0.0936,0.0408,0.0329,0.0466,217.2,3.619,0.6296,0.0809,0.0571
ST7011J0-PSG.edf,N3,0.907,0.0566,0.0198,0.0183,0.0183,139.2,2.7855,0.8288,0.032,0.0244
ST7011J0-PSG.edf,REM,0.7773,0.1114,0.056,0.0305,0.0586,487.1,3.192,0.5898,0.1283,0.0617
ST7011J0-PSG.edf,Wake,0.7674,0.0918,0.0646,0.0329,0.0804,456.5,16.7255,0.4206,0.1571,0.0882
ST7012J0-PSG.edf,N1,0.507,0.1228,0.089,0.0626,0.2224,299.4,4.4355,0.3828,0.147,0.0888
ST7012J0-PSG.edf,N2,0.809,0.0736,0.0529,0.0592,0.063,126.9,2.7025,0.6459,0.0856,0.0778
ST7012J0-PSG.edf,N3,0.9097,0.047,0.0236,0.0224,0.0181,123.4,2.241,0.8178,0.0378,0.0287
ST7012J0-PSG.edf,REM,0.676,0.1389,0.0656,0.0415,0.1041,418.45,2.808,0.5731,0.1184,0.073
ST7012J0-PSG.edf,Wake,0.717,0.0838,0.0583,0.0366,0.0864,355.2,7.685,0.2936,0.1607,0.1212
ST7021J0-PSG.edf,N1,0.5762,0.1356,0.0816,0.0611,0.147,379.4,6.4795,0.5142,0.1016,0.0639
ST7021J0-PSG.edf,N2,0.5864,0.1201,0.1734,0.1662,0.0958,117.75,3.609,0.5883,0.1286,0.1278
ST7021J0-PSG.edf,N3,0.8477,0.0495,0.0908,0.0363,0.0115,134.0,5.328,0.8939,0.0448,0.0217
ST7021J0-PSG.edf,REM,0.6288,0.1946,0.0694,0.0387,0.081,291.0,3.3395,0.5599,0.0998,0.057
ST7021J0-PSG.edf,Wake,0.7831,0.0575,0.0456,0.0353,0.1044,675.3,14.06,0.4836,0.1121,0.0979
ST7022J0-PSG.edf,N1,0.66,0.1377,0.075,0.0468,0.0986,447.7,21.414,0.5621,0.1048,0.0544
ST7022J0-PSG.edf,N2,0.6797,0.1292,0.0941,0.0979,0.0774,166.6,14.002,0.6812,0.0772,0.064
ST7022J0-PSG.edf,N3,0.8856,0.0645,0.0354,0.0216,0.014,173.6,11.414,0.8853,0.0302,0.0184
ST7022J0-PSG.edf,REM,0.6927,0.1857,0.0635,0.03,0.0533,462.9,10.628,0.5863,0.1059,0.0501
ST7022J0-PSG.edf,Wake,0.7867,0.0688,0.0474,0.0335,0.0928,831.55,55.3715,0.4816,0.1186,0.0953
ST7041J0-PSG.edf,N1,0.8597,0.0687,0.0302,0.0246,0.0351,312.75,25.654,0.7639,0.0526,0.0356
ST7041J0-PSG.edf,N2,0.8294,0.075,0.0395,0.0359,0.0388,146.9,22.813,0.7822,0.0532,0.0405
ST7041J0-PSG.edf,N3,0.9404,0.0408,0.014,0.0101,0.007,152.2,48.1835,0.9384,0.0116,0.0088
ST7041J0-PSG.edf,OTHER,0.8887,0.0721,0.0224,0.0187,0.018,475.4,13.654,0.8256,0.0454,0.0383
ST7041J0-PSG.edf,REM,0.8425,0.0832,0.0307,0.0182,0.0308,548.8,18.1995,0.7587,0.0543,0.0308
ST7041J0-PSG.edf,Wake,0.8798,0.06,0.0264,0.0221,0.0297,105.1,13.126,0.847,0.0376,0.0267
ST7042J0-PSG.edf,N1,0.8121,0.071,0.038,0.0384,0.0598,206.95,6.4005,0.7264,0.0604,0.0436
ST7042J0-PSG.edf,N2,0.795,0.068,0.0582,0.0678,0.0599,95.45,3.319,0.7566,0.0556,0.0562
ST7042J0-PSG.edf,N3,0.935,0.0348,0.0192,0.014,0.0086,127.8,4.6725,0.9202,0.0152,0.0094
ST7042J0-PSG.edf,OTHER,0.8411,0.0522,0.0555,0.0767,0.055,70.0,7.962,0.7462,0.0493,0.0699
ST7042J0-PSG.edf,REM,0.8253,0.0872,0.0297,0.0202,0.041,545.15,5.399,0.7388,0.0557,0.0356
ST7042J0-PSG.edf,Wake,0.897,0.0556,0.0127,0.0076,0.0196,1074.0,13.7495,0.7163,0.057,0.0499
ST7051J0-PSG.edf,N1,0.8005,0.0929,0.0401,0.0296,0.0463,416.8,6.029,0.5944,0.1139,0.0932
ST7051J0-PSG.edf,N2,0.7648,0.0862,0.0557,0.054,0.0658,178.95,3.8125,0.6368,0.0907,0.0792
ST7051J0-PSG.edf,N3,0.8524,0.0593,0.0434,0.0469,0.034,147.4,4.7405,0.7984,0.0588,0.055
ST7051J0-PSG.edf,REM,0.7714,0.0989,0.047,0.0359,0.0523,463.7,4.151,0.6366,0.096,0.0752
ST7051J0-PSG.edf,Wake,0.7578,0.0862,0.0568,0.0329,0.0688,606.85,8.5235,0.5443,0.1306,0.1016
ST7052J0-PSG.edf,N1,0.7287,0.1097,0.056,0.0338,0.0972,885.2,6.894,0.555,0.115,0.0651
ST7052J0-PSG.edf,N2,0.7573,0.1051,0.06,0.0762,0.0689,292.45,2.984,0.6738,0.0697,0.0768
ST7052J0-PSG.edf,N3,0.9346,0.0416,0.0143,0.0136,0.0104,200.15,2.9865,0.9206,0.0131,0.0124
ST7052J0-PSG.edf,REM,0.7684,0.124,0.0511,0.0292,0.0428,1302.9,3.1685,0.6293,0.1093,0.0668
ST7052J0-PSG.edf,Wake,0.8883,0.0397,0.024,0.014,0.039,740.5,18.911,0.5578,0.1552,0.1102
ST7061J0-PSG.edf,N1,0.6415,0.1432,0.0809,0.0443,0.0888,281.3,33.0,0.5883,0.0966,0.0517
ST7061J0-PSG.edf,N2,0.7264,0.1331,0.056,0.0725,0.0665,95.2,5.758,0.6695,0.0612,0.0752
ST7061J0-PSG.edf,N3,0.8785,0.078,0.0224,0.0256,0.0208,105.85,5.0095,0.8378,0.0188,0.0346
ST7061J0-PSG.edf,REM,0.6667,0.1992,0.0631,0.0276,0.0489,378.0,4.717,0.5492,0.1255,0.0534
ST7061J0-PSG.edf,Wake,0.8277,0.0675,0.0378,0.0129,0.0365,483.8,35.18,0.5412,0.2552,0.0388
ST7062J0-PSG.edf,N1,0.6228,0.1193,0.1006,0.0455,0.1126,301.8,6.278,0.5703,0.1028,0.0509
ST7062J0-PSG.edf,N2,0.7138,0.114,0.0606,0.0988,0.0932,103.3,2.965,0.6368,0.0658,0.0936
ST7062J0-PSG.edf,N3,0.9011,0.0496,0.0215,0.0346,0.0262,121.75,2.224,0.837,0.022,0.0412
ST7062J0-PSG.edf,REM,0.6536,0.1951,0.0542,0.0306,0.0592,359.65,3.5665,0.5611,0.1115,0.0628
ST7062J0-PSG.edf,Wake,0.8183,0.048,0.044,0.0165,0.0478,733.05,12.2925,0.4872,0.3062,0.0354
ST7071J0-PSG.edf,N1,0.6135,0.1638,0.102,0.0489,0.0755,517.5,7.5725,0.434,0.1728,0.0512
ST7071J0-PSG.edf,N2,0.7883,0.1279,0.0495,0.039,0.0345,249.8,2.645,0.7527,0.0589,0.0368
ST7071J0-PSG.edf,N3,0.916,0.0609,0.0174,0.0131,0.009,160.05,2.216,0.9044,0.0179,0.0105
ST7071J0-PSG.edf,REM,0.7114,0.1693,0.0591,0.0335,0.0455,436.2,2.1615,0.5316,0.1024,0.0446
ST7071J0-PSG.edf,Wake,0.8288,0.065,0.0596,0.0156,0.0382,574.1,11.288,0.239,0.4114,0.0585
ST7072J0-PSG.edf,N1,0.6983,0.1393,0.0794,0.0489,0.0738,351.2,9.351,0.5805,0.1122,0.0554
ST7072J0-PSG.edf,N2,0.7573,0.1106,0.0699,0.0722,0.0547,71.4,4.591,0.7247,0.0825,0.0715
ST7072J0-PSG.edf,N3,0.9196,0.048,0.0222,0.019,0.011,110.2,4.4375,0.9178,0.0178,0.0152
ST7072J0-PSG.edf,REM,0.6514,0.1909,0.0752,0.0412,0.0614,304.85,4.208,0.4956,0.14,0.0586
